| 标题                                           | 标题链接                                     | 发布日期       |
| 为什么我每天思考 6 万件事，仍然学不会如何思考                     | https://blog.tujunjie.com/20230521154227 | 2019/2/19  |
| 请停止无效努力丨读书笔记                                 | https://blog.tujunjie.com/20230521154353 | 2019/2/18  |
| 耍小聪明的时间记录者                                   | https://blog.tujunjie.com/20230521154509 | 2019/2/17  |
| 一天不止 24 小时丨读书笔记                              | https://blog.tujunjie.com/20230521154623 | 2019/2/14  |
| 张弛用这个方法成为巴音布鲁克的王                             | https://blog.tujunjie.com/20230521154702 | 2019/2/13  |
| 春节期间没做记录时间怎么办？                               | https://blog.tujunjie.com/20230521154822 | 2019/2/12  |
| 3 次提问帮你每周节约 8 小时丨读书笔记                        | https://blog.tujunjie.com/20230521154938 | 2019/2/10  |
| 从安卓 aTimeLogger 切换到 iOS 的 TimeTrack          | https://blog.tujunjie.com/20230521161236 | 2019/2/6   |
| 手机半死不活的抢救方案                                  | https://blog.tujunjie.com/20230521161830 | 2019/2/5   |
| 为什么有人买 8000 块的手机不觉得贵？                        | https://blog.tujunjie.com/20230521161937 | 2019/2/3   |
| 有没有能记录我一天在每件事上花了多少时间的 App？                   | https://blog.tujunjie.com/20230521162250 | 2019/1/31  |
| 记录生活是小众需求吗？                                  | https://blog.tujunjie.com/20230521162519 | 2019/1/30  |
| 每天 15 分钟，留住你的人生                              | https://blog.tujunjie.com/20230521162820 | 2019/1/29  |
| 87 岁 “经营之神” 给年轻人的 12 条建议丨读书笔记                | https://blog.tujunjie.com/20230521162933 | 2019/1/28  |
| 未来 3 到 5 年，互联网人应该重点培养哪种能力？                   | https://blog.tujunjie.com/20230521163104 | 2019/1/25  |
| 求锦鲤不如求自己，定目标我是认真的丨 少数派 2018 年度征文             | https://blog.tujunjie.com/20230523225220 | 2019/1/24  |
| 用这三句话把自己骂醒                                   | https://blog.tujunjie.com/20230521163212 | 2019/1/24  |
| 哪些手机 App 构成了我的日常？                            | https://blog.tujunjie.com/20230521164602 | 2019/1/23  |
| 上班族开拓副业收入的 3 种方法                             | https://blog.tujunjie.com/20230521165051 | 2019/1/22  |
| 减重 15 斤的秘诀就这一条                               | https://blog.tujunjie.com/20230521165705 | 2019/1/21  |
| 万物互联，当你的一切都被记录                               | https://blog.tujunjie.com/20230521170815 | 2019/1/20  |
| 闲懒像吻，被偷走才是甜的丨《发现心流》读书笔记                      | https://blog.tujunjie.com/20230521170946 | 2019/1/18  |
| 写在时间记录 20000 小时后丨我的记录体系起源                    | https://blog.tujunjie.com/20230521171327 | 2019/1/17  |
| 重要资料不备份你就等着吧指南                               | https://blog.tujunjie.com/20230521171548 | 2019/1/16  |
| 多大的人了，连微信加好友的礼貌都不懂？                          | https://blog.tujunjie.com/20230521171738 | 2019/1/15  |
